Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel Type,Video Views Rank,Country Rank,Channel Type Rank,Video Views For The Last 30 Days,Lowest Monthly Earnings,Highest Monthly Earnings,Lowest Yearly Earnings,Highest Yearly Earnings,Subscribers For Last 30 Days,Created Year,Created Month,Created Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban Population,Latitude,Longitude
Aadishakti Films,14500000,6290721701,Music,Aadishakti Films,4790,India,IN,Music,981,107,132,48447000,12100.0,193800.0,145300.0,2300000.0,200000,2016,Oct,28.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Telemundo,14500000,8582696157,Entertainment,Telemundo,19201,United States,US,Entertainment,592,156,151,48285000,12100.0,193100.0,144900.0,2300000.0,0,2007,Jan,3.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
GMM25Thailand,14500000,9383692066,Entertainment,GMM25Thailand,68606,Thailand,TH,Entertainment,502,13,151,45622000,11400.0,182500.0,136900.0,2200000.0,100000,2011,Jun,8.0,49.3,69625582,0.75,35294600,15.870032,100.992541
TV9 Bharatvarsh,14500000,10303519926,People & Blogs,TV9 Bharatvarsh,293516,India,IN,News,414,106,18,418474000,104600.0,1700000.0,1300000.0,20100000.0,700000,2018,Nov,19.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Maroon5VEVO,14500000,20042571499,Music,Maroon5VEVO,147,United States,US,Music,123,156,132,98185000,24500.0,392700.0,294600.0,4700000.0,0,2009,May,12.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Saad Lamjarred,14500000,4315486422,Music,Saad Lamjarred  ,176,Morocco,MA,Music,1710,1,132,37577000,9400.0,150300.0,112700.0,1800000.0,0,2012,Dec,22.0,35.9,36910560,9.02,22975026,31.791702,-7.09262
Hear This Music,14500000,9201428420,Music,Hear This Music,39,Unknown,Unknown,Music,518,4,132,48193000,12000.0,192800.0,144600.0,2300000.0,100000,2016,Feb,13.0,0.0,0,0.0,0,,
Lilly Singh,14500000,3517662420,Comedy,Lilly Singh,1064,Canada,CA,Comedy,2297,8,31,5329000,1300.0,21300.0,16000.0,255800.0,0,2010,Oct,29.0,68.9,36991981,5.56,30628482,56.130366,-106.346771
Gyan Gaming,14400000,2224121890,Gaming,Gyan Gaming,3086,India,IN,Games,4292,107,52,13891000,3500.0,55600.0,41700.0,666800.0,100000,2017,Sep,1.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Drawblogs,14400000,1629801448,Entertainment,Drawblogs,399,Peru,PE,Entertainment,6402,1,152,1002000,251.0,4000.0,3000.0,48100.0,0,2014,May,20.0,70.7,32510453,3.31,25390339,-9.189967,-75.015152
NOBRU,14400000,351763324,Gaming,nobru,2,Unknown,Unknown,People,4057274,0,7596,2,0.0,0.01,0.01,0.1,1,2006,Feb,3.0,0.0,0,0.0,0,,
I,14400000,2972474215,Entertainment,  I   ,381,Saudi Arabia,SA,Entertainment,2934,6,152,4673000,1200.0,18700.0,14000.0,224300.0,0,2017,Dec,1.0,68.0,34268528,5.93,28807838,23.885942,45.079162
Cyprien,14400000,3086254545,Comedy,Cyprien,222,France,FR,Comedy,2767,2,32,11417000,2900.0,45700.0,34300.0,548000.0,0,2007,Feb,25.0,65.6,67059887,8.43,54123364,46.227638,2.213749
Rclbeauty101,14400000,3900312631,Comedy,Rclbeauty101,463,United States,US,Entertainment,1986,157,152,8636000,2200.0,34500.0,25900.0,414500.0,0,2010,Dec,14.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Coke Studio,14400000,4035738731,Music,Rohail Hyatt,450,United States,US,Music,23796,962,836,3557000,889.0,14200.0,10700.0,170700.0,10000,2008,Jun,4.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Indore Physical Academy,14400000,4156427797,People & Blogs,Indore Physical Academy,1838,India,IN,People,1793,107,47,70409000,17600.0,281600.0,211200.0,3400000.0,200000,2014,Apr,19.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Rosanna Pansino,14400000,4597228794,Howto & Style,Rosanna Pansino,1248,United States,US,Howto,1552,157,27,26683000,6700.0,106700.0,80000.0,1300000.0,0,2010,Apr,8.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Harry Styles,14400000,5689224452,People & Blogs,harrystyles,0,United States,US,Games,4037956,7574,7340,0,0.0,0.0,0.0,0.0,0,0,Unknown,0.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Vlad and Niki PRT,14400000,6543282459,Unknown,Vlad and Niki PRT,516,United States,US,Entertainment,918,157,152,40089000,10000.0,160400.0,120300.0,1900000.0,0,2018,Nov,3.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
RS 1313 SHORTS,14400000,8011977288,Entertainment,RS 1313 SHORTS,5628,India,IN,Entertainment,647,108,152,212639000,53200.0,850600.0,637900.0,10200000.0,200000,2020,Oct,24.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Zig & Sharko,14400000,9023952946,Film & Animation,Zig & Sharko,978,Unknown,Unknown,Film,534,0,39,62689000,15700.0,250800.0,188100.0,3000000.0,100000,2015,May,6.0,0.0,0,0.0,0,,
SelenaGomezVEVO,14400000,11423792969,Music,SelenaGomezVEVO,186,United States,US,Music,354,157,133,88657000,22200.0,354600.0,266000.0,4300000.0,0,2009,Nov,24.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
ZEE5,14400000,18515587421,Entertainment,ZEE5,101401,India,IN,Entertainment,142,108,152,149799000,37400.0,599200.0,449400.0,7200000.0,100000,2018,Feb,13.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Super Polina,14300000,4776507159,People & Blogs,Super Polina,576,United States,US,Entertainment,1452,158,153,413774,103.0,1700.0,1200.0,19900.0,100000,2014,Jul,8.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Rebecca Zamolo,14300000,6388439235,Comedy,RebeccaZamolo,1,United States,US,Entertainment,4054606,6342,5464,0,0.0,0.0,0.0,0.0,0,2011,Aug,4.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Wish 107.5,14200000,6048517979,Music,Wish 107.5,1823,Philippines,PH,Music,1036,8,134,62658000,15700.0,250600.0,188000.0,3000000.0,0,2014,Jul,13.0,35.5,108116615,2.15,50975903,12.879721,121.774017
Invento na Hora,14200000,4040297006,Film & Animation,Invento na Hora,1281,Brazil,BR,Entertainment,1877,43,154,19029000,4800.0,76100.0,57100.0,913400.0,0,2014,Oct,18.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
SIS vs BRO,14200000,6973932553,Entertainment,SiS,60,Ukraine,UA,Entertainment,3739171,2460,4686,105,0.03,0.42,0.32,5.0,10,2016,Aug,3.0,82.7,44385155,8.88,30835699,48.379433,31.16558
NikkieTutorials,14200000,1778318927,Howto & Style,NikkieTutorials,876,Netherlands,NL,Entertainment,5764,2,154,35934000,9000.0,143700.0,107800.0,1700000.0,0,2008,Jun,23.0,85.0,17332850,3.2,15924729,52.132633,5.291266
TommyInnit,14200000,2084791147,Gaming,TommyInnit,342,United Kingdom,GB,Games,4696,27,55,54291000,13600.0,217200.0,162900.0,2600000.0,200000,2015,Dec,24.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
E-MasterSensei,14200000,3920559552,Gaming,E-MasterSensei,1300,Mexico,MX,Games,1971,28,54,44575000,11100.0,178300.0,133700.0,2100000.0,200000,2016,Jan,13.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
infobells - Kannada,14200000,6554000320,Education,infobells - Kannada,433,India,IN,Education,912,110,37,141688000,35400.0,566800.0,425100.0,6800000.0,300000,2014,Mar,13.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Crazy Frog,14200000,7946322061,Music,CrazyFrog,0,Unknown,Unknown,Games,4057944,0,7453,0,0.0,0.0,0.0,0.0,0,2005,Oct,2.0,0.0,0,0.0,0,,
The Dodo,14200000,9964116817,Pets & Animals,Dorukhan G,8,Unknown,Unknown,Unknown,4050736,0,0,7208,2.0,29.0,22.0,346.0,5,2006,Jun,14.0,0.0,0,0.0,0,,
SEVENGERS,14200000,10238593147,Comedy,SEVENGERS,872,India,IN,Comedy,422,110,33,367898000,92000.0,1500000.0,1100000.0,17700000.0,400000,2018,Jun,4.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Zee Bangla,14200000,11428794827,Entertainment,Zee Bangla,132398,India,IN,Entertainment,352,109,153,59927000,15000.0,239700.0,179800.0,2900000.0,200000,2008,Feb,26.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
DangMattSmith,14200000,3317805543,Entertainment,DangMattSmith,1724,United States,US,Entertainment,2485,159,154,12902000,3200.0,51600.0,38700.0,619300.0,0,2011,Aug,18.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Neha Kakkar,14100000,2131548711,Music,Neha Kakkar,149,India,IN,Music,4624,110,134,25605000,6400.0,102400.0,76800.0,1200000.0,100000,2012,Oct,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Refugio Mental,14100000,3594936775,Entertainment,Refugio Mental,846,Unknown,Unknown,Entertainment,2218,0,155,6942000,1700.0,27800.0,20800.0,333200.0,0,2013,Aug,10.0,0.0,0,0.0,0,,
Trap City,14100000,5129529846,Music,TrapCity,3,Australia,AU,People,4032620,3671,7629,147,0.04,0.59,0.44,7.0,1,2015,Nov,4.0,113.1,25766605,5.27,21844756,-25.274398,133.775136
Supercar Blondie,14100000,5405563355,Autos & Vehicles,Supercar Blondie,855,United Arab Emirates,AE,Autos,1202,7,1,353259000,88300.0,1400000.0,1100000.0,17000000.0,500000,2007,Sep,12.0,36.8,9770529,2.35,8479744,23.424076,53.847818
Yudist Ardhana,14100000,6036496916,Entertainment,Yudist Ardhana,2854,Indonesia,ID,Entertainment,1029,27,154,176062000,44000.0,704200.0,528200.0,8500000.0,400000,2016,Jan,6.0,36.3,270203917,4.69,151509724,-0.789275,113.921327
Lana Del Rey,14100000,6884215292,Music,Lana Del Rey,43,United States,US,Music,856,160,135,135563000,33900.0,542300.0,406700.0,6500000.0,200000,2011,May,5.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
MalumaVEVO,14100000,19013942981,Music,MalumaVEVO,182,United States,US,Music,138,160,135,98834000,24700.0,395300.0,296500.0,4700000.0,0,2011,Jun,15.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927,Sports,F2Freestylers - Ultimate Soccer Skills Chann,777,United Kingdom,GB,Sports,2530,28,10,10222000,2600.0,40900.0,30700.0,490600.0,0,2011,Apr,9.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Bie The Ska,14100000,4627069704,Entertainment,Bie The Ska,1540,Thailand,TH,Entertainment,1531,14,155,12502000,3100.0,50000.0,37500.0,600100.0,100000,2006,Oct,3.0,49.3,69625582,0.75,35294600,15.870032,100.992541
AM3NlC,14000000,4959982720,Gaming,AM3NlC,5757,Brazil,BR,People,1392,45,49,10210000,2600.0,40800.0,30600.0,490100.0,0,2012,Dec,15.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Narins Beauty,14000000,2214167846,Howto & Style,Narins Beauty,431,Sweden,SE,Entertainment,4325,3,156,13709000,3400.0,54800.0,41100.0,658000.0,0,2014,Sep,24.0,67.0,10285453,6.48,9021165,60.128161,18.643501
TV Ana Emilia,14000000,4674164601,People & Blogs,TV Ana Emilia,651,Mexico,MX,Entertainment,1504,29,156,26783000,6700.0,107100.0,80300.0,1300000.0,100000,2014,Dec,30.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Luli Pamp,14000000,8623705301,Music,Luli Pamp,294,Spain,ES,Music,579,15,136,201659000,50400.0,806600.0,605000.0,9700000.0,100000,2012,Dec,22.0,88.9,47076781,13.96,37927409,40.463667,-3.74922
Gallina Pintadita,14000000,9660950823,Music,Gallina Pintadita,62,Mexico,MX,Film,477,29,40,70626000,17700.0,282500.0,211900.0,3400000.0,0,2011,Aug,2.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
ViralHog,14000000,18917687143,People & Blogs,ViralHog,41117,United States,US,Animals,136,159,3,1364000000,340900.0,5500000.0,4100000.0,65500000.0,1100000,2014,Aug,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
ETV Jabardasth,14000000,13542939513,People & Blogs,ETV Jabardasth,9652,India,IN,Comedy,268,111,34,133584000,33400.0,534300.0,400800.0,6400000.0,100000,2015,Jul,14.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Zee Telugu,14000000,12597067132,Entertainment,zeetelugu,3,India,IN,Music,4039216,4651,4603,7,0.0,0.03,0.02,0.34,0,2007,Jan,31.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Crescendo com Luluca,14000000,5094050461,Entertainment,Crescendo com Luluca,1307,Brazil,BR,People,1327,44,48,68058000,17000.0,272200.0,204200.0,3300000.0,100000,2015,Aug,30.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Jazzghost,13900000,5673347763,Gaming,Jazzghost,5494,Brazil,BR,Games,1140,46,57,106718000,26700.0,426900.0,320200.0,5100000.0,100000,2012,Aug,30.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
karameeshchannel,13900000,9106781518,Entertainment,karameeshchannel,2254,Jordan,JO,Music,526,3,137,87639000,21900.0,350600.0,262900.0,4200000.0,100000,2012,Jan,18.0,34.4,10101694,14.72,9213048,30.585164,36.238414
Darkar Company Studios,13900000,2244318380,Film & Animation,Darkar Company Studios,183,United States,US,Comedy,4234,161,35,4598000,1100.0,18400.0,13800.0,220700.0,0,2009,Feb,15.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Dental Digest,13900000,7450345720,People & Blogs,Dental Digest,324,Unknown,Unknown,People,745,0,50,231562000,57900.0,926200.0,694700.0,11100000.0,300000,2020,Aug,12.0,0.0,0,0.0,0,,
T-Series Regional,13900000,5217553897,Entertainment,T-Series Regional,15075,India,IN,Music,1275,111,136,33484000,8400.0,133900.0,100500.0,1600000.0,100000,2011,Feb,14.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
ADEL et SAMI,13900000,5465532801,Entertainment,ADEL et SAMI,503,United States,US,Entertainment,1200,161,157,26883000,6700.0,107500.0,80600.0,1300000.0,0,2018,Mar,12.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Jamuna TV,13900000,12129583055,News & Politics,jamuna tv24,6,Bangladesh,BD,Entertainment,4056658,3776,6756,1,0.0,0.0,0.0,0.05,0,2021,Feb,10.0,20.6,167310838,4.19,60987417,23.684994,90.356331
Atlantic Records,13900000,12513842343,Music,Atlantic Records,1660,United States,US,Music,307,161,137,97284000,24300.0,389100.0,291900.0,4700000.0,100000,2006,Dec,15.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Veritasium,13900000,2165885634,Education,Veritasium,369,United States,US,Education,4466,161,38,44149000,11000.0,176600.0,132400.0,2100000.0,200000,2010,Jul,21.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Alexa Rivera,13900000,3193226072,Howto & Style,Alexa Rivera,288,Unknown,Unknown,Entertainment,2613,0,157,142760000,35700.0,571000.0,428300.0,6900000.0,300000,2010,Aug,21.0,0.0,0,0.0,0,,
Airrack,13800000,2224911030,Entertainment,Airrack,173,United States,US,Entertainment,4285,161,157,99654000,24900.0,398600.0,299000.0,4800000.0,300000,2015,Jan,3.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Hacksmith Industries,13800000,1820559912,Science & Technology,Hacksmith Industries,887,Canada,CA,Tech,5524,10,14,83943000,21000.0,335800.0,251800.0,4000000.0,100000,2006,Apr,20.0,68.9,36991981,5.56,30628482,56.130366,-106.346771
JD Pantoja,13800000,1493776391,People & Blogs,JD Pantoja,16,Unknown,Unknown,Music,7134,0,138,13533000,3400.0,54100.0,40600.0,649600.0,100000,2017,Jun,5.0,0.0,0,0.0,0,,
Atro,13800000,2480957682,Gaming,Atro,1952,Netherlands,NL,Games,3690,4,58,55122000,13800.0,220500.0,165400.0,2600000.0,200000,2017,Jul,2.0,85.0,17332850,3.2,15924729,52.132633,5.291266
123 GO! Spanish,13800000,5019136690,People & Blogs,123 GO! Spanish,520,Mexico,MX,Howto,1361,30,28,26519000,6600.0,106100.0,79600.0,1300000.0,100000,2019,Mar,13.0,40.2,126014024,3.42,102626859,23.634501,-102.552784
Geo News,13800000,5727888539,News & Politics,Geo News,190093,Pakistan,PK,News,1127,6,21,100053000,25000.0,400200.0,300200.0,4800000.0,100000,2007,Jan,10.0,9.0,216565318,4.45,79927762,30.375321,69.345116
Kids TV India Hindi Nursery Rhymes,13800000,6646953396,Shows,Kids TV India Hindi Nursery Rhymes,1505,India,IN,Education,898,112,38,78651000,19700.0,314600.0,236000.0,3800000.0,100000,2014,Nov,17.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Think Music India,13800000,11039343563,Music,Think Music India,4978,India,IN,Music,374,112,137,217106000,54300.0,868400.0,651300.0,10400000.0,200000,2009,Aug,15.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
O Que N,13700000,1967930734,Comedy,O Que N,696,Brazil,BR,Entertainment,5035,47,159,87804000,22000.0,351200.0,263400.0,4200000.0,200000,2015,Feb,6.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
Goldmines Premiere,13700000,1973638757,Entertainment,Goldmines Premiere,975,India,IN,Film,5047,113,41,37648000,9400.0,150600.0,112900.0,1800000.0,100000,2013,Oct,12.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
MAIKI021,13700000,1950178163,Entertainment,MAIKI021,3298,Brazil,BR,Entertainment,5135,47,159,7438000,1900.0,29800.0,22300.0,357000.0,0,2008,Jan,22.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
The Vishal bhatt,13700000,9596430464,Comedy,The Vishal bhatt,1040,India,IN,Comedy,487,113,36,379240000,94800.0,1500000.0,1100000.0,18200000.0,600000,2021,Aug,15.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
NishaMadhulika,13700000,2939201386,Howto & Style,NishaMadhulika,2158,India,IN,Howto,2972,113,29,22235000,5600.0,88900.0,66700.0,1100000.0,100000,2009,Aug,2.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
MyMissAnand,13700000,4963275018,People & Blogs,MyMissAnand,340,India,IN,Entertainment,1387,113,159,27882000,7000.0,111500.0,83600.0,1300000.0,0,2014,Jul,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
FAPTV,13700000,5457203710,Comedy,FAPTV,863,Vietnam,VN,Comedy,1205,3,36,35124000,8800.0,140500.0,105400.0,1700000.0,0,2014,Feb,26.0,28.5,96462106,2.01,35332140,14.058324,108.277199
Wesley Safad,13700000,8134379376,Music,Wesley Safad,438,Brazil,BR,Music,631,47,139,64059000,16000.0,256200.0,192200.0,3100000.0,0,2009,Jun,21.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
infobells,13700000,5178142148,Education,infobells,495,India,IN,Education,1289,113,39,23893000,6000.0,95600.0,71700.0,1100000.0,100000,2011,Oct,20.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Desi Gamers,13700000,2135195239,Gaming,Desi gamers,1,Unknown,Unknown,Tech,4057849,0,4183,5,0.0,0.02,0.02,0.24,0,2020,Apr,14.0,0.0,0,0.0,0,,
Acenix,13600000,2122062016,Gaming,Acenix,368,Spain,ES,Games,4572,16,60,47436000,11900.0,189700.0,142300.0,2300000.0,200000,2014,Jan,2.0,88.9,47076781,13.96,37927409,40.463667,-3.74922
Zeinab Harake,13600000,896891351,Unknown,Zeinab Harake,273,Philippines,PH,People,13437,9,51,12088000,3000.0,48400.0,36300.0,580200.0,100000,2017,Oct,19.0,35.5,108116615,2.15,50975903,12.879721,121.774017
DALLMYD,13600000,1948925559,Sports,DALLMYD,412,United States,US,Sports,5133,164,11,30677000,7700.0,122700.0,92000.0,1500000.0,100000,2011,Feb,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Lindsey Stirling,13600000,3764608356,Music,Lindsey Stirling,199,United States,US,Music,2084,163,139,15277000,3800.0,61100.0,45800.0,733300.0,100000,2007,May,20.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
JOJO TV - Hindi Stories,13600000,5141201173,Education,JOJO TV - Hindi Stories,1097,India,IN,Film,1303,114,42,10764000,2700.0,43100.0,32300.0,516700.0,100000,2016,Dec,25.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
BBC,13600000,9685060624,Pets & Animals,BBC,16047,United Kingdom,GB,Entertainment,474,29,160,44414000,11100.0,177700.0,133200.0,2100000.0,100000,2005,Nov,12.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Saturday Night Live,13600000,14717282742,Entertainment,Saturday Night Live,8335,United States,US,Comedy,232,164,37,56626000,14200.0,226500.0,169900.0,2700000.0,0,2013,Jul,23.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
BUDI01 GAMING,13500000,1181292450,Gaming,BUDI01 GAMING,319,Indonesia,ID,Games,9540,29,61,13436000,3400.0,53700.0,40300.0,644900.0,0,2019,Jul,19.0,36.3,270203917,4.69,151509724,-0.789275,113.921327
Typical Gamer,13500000,4301581610,Gaming,Typical Gamer,4312,Canada,CA,Games,1716,11,61,32557000,8100.0,130200.0,97700.0,1600000.0,0,2008,Aug,24.0,68.9,36991981,5.56,30628482,56.130366,-106.346771
Anaysa,13500000,3445794123,Howto & Style,Anaysa,591,India,IN,Howto,2364,115,30,29706000,7400.0,118800.0,89100.0,1400000.0,0,2012,Mar,10.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
JULIA GISELLA,13500000,5380132790,Entertainment,Julia Gisella,19,United Kingdom,GB,Music,3767960,2492,3189,1615,0.4,6.0,5.0,78.0,130,2015,Mar,24.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Awakening Music,13500000,5545936485,Music,Awakening Music,814,United Kingdom,GB,Music,1183,30,140,35309000,8800.0,141200.0,105900.0,1700000.0,100000,2006,Dec,25.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Lady Diana,13500000,8265920659,Entertainment,Lady Diana,1403,Ukraine,UA,People,620,4,52,75162000,18800.0,300600.0,225500.0,3600000.0,100000,2016,Mar,21.0,82.7,44385155,8.88,30835699,48.379433,31.16558
Sanjoy Das Official,13500000,3912334359,Entertainment,Sanjoy Das Official,1793,India,IN,Games,1954,114,60,179232000,44800.0,716900.0,537700.0,8600000.0,400000,2015,Apr,29.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Woody & Kleiny,13500000,11717217293,Comedy,Woody & Kleiny,975,United Kingdom,GB,Entertainment,333,29,160,495561000,123900.0,2000000.0,1500000.0,23800000.0,400000,2013,Mar,30.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Vijay Kumar Viner Vlogs,13500000,7958771872,Entertainment,Vijay Kumar Viner Vlogs,1357,India,IN,Entertainment,663,116,162,109813000,27500.0,439300.0,329400.0,5300000.0,300000,2019,Mar,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Conor Maynard,13500000,2750993392,Music,Conor Maynard,321,United States,US,Music,3257,165,140,10787000,2700.0,43100.0,32400.0,517800.0,0,2006,May,19.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Wengie,13500000,1900272833,Howto & Style,Wengie,462,United States,US,Howto,5297,165,30,1335000,334.0,5300.0,4000.0,64100.0,100000,2010,Sep,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Vlad y Niki Show,13400000,4622628957,Unknown,Vlad y Niki Show,477,United States,US,Entertainment,1537,166,162,92228000,23100.0,368900.0,276700.0,4400000.0,200000,2018,Nov,8.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Codiscos,13400000,11789678655,Music,Codiscos,7356,Colombia,CO,Music,330,9,140,228902000,57200.0,915600.0,686700.0,11000000.0,100000,2007,Feb,8.0,55.3,50339443,9.71,40827302,4.570868,-74.297333
The World Adventures,13400000,2139769210,People & Blogs,The World Adventures ,1028,India,IN,People,4540,116,53,1043000,261.0,4200.0,3100.0,50100.0,0,2016,Sep,9.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Vibhu 96,13400000,20563378,Unknown,Vibhu 96,256,India,IN,Education,342460,114,40,20264000,5100.0,81100.0,60800.0,972700.0,300000,2022,Jun,5.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Blockbuster Movies,13400000,2650061211,Entertainment,Blockbuster Movies,0,India,IN,Unknown,4057944,5589,0,0,0.0,0.0,0.0,0.0,0,2017,Jul,4.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
ATHLEAN-X,13400000,2319515787,Howto & Style,ATHLEAN-X,1349,United States,US,Howto,4039,166,31,14498000,3600.0,58000.0,43500.0,695900.0,0,2006,Dec,16.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
My Mate Nate,13400000,3363634923,Comedy,My Mate Nate,1195,Thailand,TH,Entertainment,2436,15,162,41672000,10400.0,166700.0,125000.0,2000000.0,0,2014,Dec,8.0,49.3,69625582,0.75,35294600,15.870032,100.992541
H2ODelirious,13400000,4356686216,Gaming,H2ODelirious,3727,United States,US,Games,1683,166,62,16785000,4200.0,67100.0,50400.0,805700.0,0,2007,May,24.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
GMA Integrated News,13400000,9569814790,News & Politics,GMA Integrated News,296272,Philippines,PH,News,486,10,22,115459000,28900.0,461800.0,346400.0,5500000.0,100000,2007,Oct,29.0,35.5,108116615,2.15,50975903,12.879721,121.774017
Peet Montzingo,13400000,10022557589,People & Blogs,Peet Montzingo,319,United States,US,People,433,165,52,397715000,99400.0,1600000.0,1200000.0,19100000.0,500000,2014,Jun,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
The Q,13400000,4306212515,People & Blogs,Tom Duggan,96,United States,US,Sports,3846885,7615,4466,3,0.0,0.01,0.01,0.14,1,2006,Jan,17.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Trakin Tech,13300000,2262690743,Science & Technology,Trakin Tech,3640,India,IN,Tech,4152,116,16,43669000,10900.0,174700.0,131000.0,2100000.0,100000,2011,Nov,2.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
theRadBrad,13300000,6050102764,Gaming,theRadBrad,8195,United States,US,Games,1038,167,63,15694000,3900.0,62800.0,47100.0,753300.0,0,2006,Nov,27.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Matt Steffanina,13300000,3299216601,Entertainment,Matt Steffanina,331,United States,US,Entertainment,14275,692,694,1929000,482.0,7700.0,5800.0,92600.0,0,2007,Nov,28.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Stray Kids,13300000,3364230487,People & Blogs,straykids,3,Unknown,Unknown,Comedy,4057875,0,4896,2,0.0,0.01,0.01,0.1,1,2007,Mar,17.0,0.0,0,0.0,0,,
Kurt Hugo Schneider,13300000,3733856870,Entertainment,Kurt Hugo Schneider,698,United States,US,Entertainment,2110,167,163,4233000,1100.0,16900.0,12700.0,203200.0,0,2007,Oct,16.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Vogue,13300000,4177184071,Entertainment,Vogue,3166,United States,US,People,1789,167,54,45095000,11300.0,180400.0,135300.0,2200000.0,100000,2008,Jun,29.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Kids Line,13300000,9088562002,People & Blogs,Kids Line,2742,United States,US,Education,524,166,41,161889000,40500.0,647600.0,485700.0,7800000.0,100000,2011,Nov,26.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
VexTrex,13300000,7923901253,Entertainment,VexTrex,2411,Ukraine,UA,Entertainment,669,5,163,379346000,0.0,0.0,0.0,0.0,0,2014,Sep,8.0,82.7,44385155,8.88,30835699,48.379433,31.16558
