,name,rating,card_type,position,nation,league,team,PAC,SHO,PAS,DRI,DEF,PHY
650,Giovanni Di Lorenzo,89,team-of-the-week,RB,Italy,Serie A TIM,Napoli,91,75,81,84,86,88
651,Matthijs de Ligt,89,team-of-the-week,CB,Netherlands,Bundesliga,FC Bayern München,81,64,68,74,90,91
652,Florian Wirtz,89,team-of-the-week,CAM,Germany,Bundesliga,Leverkusen,87,85,90,93,59,68
653,Brahim,89,uefa-champions-league-road-to-the-final,CAM,Spain,Serie A TIM,Milan,89,86,87,93,41,65
654,Freddie Ljungberg,89,league-player,LM,Sweden,Premier League,HERO,91,87,86,89,48,82
655,Landon Donovan,89,league-player,CF,United States,Major League Soccer,HERO,93,91,84,89,50,75
656,Raphaël Guerreiro,89,potm-bundesliga,CM,Portugal,Bundesliga,Borussia Dortmund,83,85,92,93,85,70
657,Corentin Tolisso,89,fut-birthday,CM,France,Ligue 1 Uber Eats,OL,80,87,85,88,86,85
658,Thomas Meunier,89,showdown-plus,RB,Belgium,Bundesliga,Borussia Dortmund,91,82,85,85,86,90
659,Bruno Fernandes,89,domestic-man-of-the-match,CAM,Portugal,Premier League,Manchester Utd,78,89,91,86,71,80
660,Timo Werner,89,fut-birthday,ST,Germany,Bundesliga,RB Leipzig,96,87,81,89,42,77
661,Alex Telles,89,fut-birthday,LB,Brazil,LaLiga Santander,Sevilla FC,92,82,89,86,86,83
662,Stephan El Shaarawy,89,fut-birthday,CF,Italy,Serie A TIM,Roma FC,94,85,85,90,58,79
663,Christopher Nkunku,89,fut-birthday,CF,France,Bundesliga,RB Leipzig,91,84,87,91,72,73
664,Alex Sandro,89,fut-birthday,LB,Brazil,Serie A TIM,Juventus,89,74,83,89,86,88
665,Antoine Griezmann,89,potm-laliga-santander,ST,France,LaLiga Santander,Atlético de Madrid,88,89,90,92,59,82
666,Michail Antonio,89,fut-birthday,ST,Jamaica,Premier League,West Ham,91,87,83,88,65,89
667,Matheus Cunha,89,showdown-plus,ST,Brazil,Premier League,Wolves,91,88,83,91,41,82
668,Morgan Gibbs-White,89,showdown-plus,CAM,England,Premier League,Nott'm Forest,89,84,87,90,76,81
669,Darwin Núñez,89,fut-birthday,LW,Uruguay,Premier League,Liverpool,95,88,77,86,48,92
670,Darwin Núñez,89,fut-birthday,LW,Uruguay,Premier League,Liverpool,95,88,77,86,48,92
671,Alex Iwobi,89,fut-birthday,CAM,Nigeria,Premier League,Everton,89,85,84,94,41,62
672,João Félix,89,fut-birthday,CF,Portugal,Premier League,Chelsea,90,86,86,93,45,75
673,Mason Mount,89,vfua1,CAM,England,Premier League,Chelsea,86,88,90,90,62,78
674,Julian Brandt,89,potm-bundesliga,RW,Germany,Bundesliga,Borussia Dortmund,82,86,89,92,56,74
675,Nicolás Tagliafico,89,fantasy-fut,LB,Argentina,Ligue 1 Uber Eats,OL,89,65,82,85,89,88
676,Dominik Szoboszlai,89,fantasy-fut,CAM,Hungary,Bundesliga,RB Leipzig,88,90,91,91,46,76
677,Juan Foyth,89,fantasy-fut,CB,Argentina,LaLiga Santander,Villarreal CF,86,56,79,83,90,87
678,Park Ji Sung,89,fut-fantasy-hero,CM,Korea Republic,LaLiga Santander,HERO,87,82,88,90,83,85
679,Patrick Wimmer,89,fantasy-fut,RM,Austria,Bundesliga,VfL Wolfsburg,96,80,85,90,65,86
680,Sergi Darder,89,fantasy-fut,CM,Spain,LaLiga Santander,RCD Espanyol,89,81,89,91,81,84
681,Paulo Dybala,89,domestic-man-of-the-match,CF,Argentina,Serie A TIM,Roma FC,85,88,88,93,43,66
682,Peter Crouch,89,fut-fantasy-hero,ST,England,Premier League,HERO,86,91,81,87,55,85
683,Ledley King,89,fut-fantasy-hero,CB,England,LaLiga Santander,HERO,83,58,72,78,92,86
684,Iván Córdoba,89,fut-fantasy-hero,CB,Colombia,Serie A TIM,HERO,88,65,68,71,92,89
685,Lars Ricken,89,fut-fantasy-hero,CAM,Germany,LaLiga Santander,HERO,88,90,85,88,62,71
686,Dele Alli,89,fantasy-fut,CAM,England,Süper Lig,Beşiktaş,87,89,87,91,78,85
687,Angeliño,89,fantasy-fut,LWB,Spain,Bundesliga,TSG Hoffenheim,91,77,88,92,87,80
688,Mattia Zaccagni,89,showdown-plus,LW,Italy,Serie A TIM,Latium,92,84,85,93,67,75
689,John Stones,89,showdown-plus,CB,England,Premier League,Manchester City,84,57,80,83,90,87
690,Carlos Soler,89,showdown-plus,CM,Spain,Ligue 1 Uber Eats,Paris SG,86,82,90,89,80,84
691,Jamie Bynoe-Gittens,89,showdown-plus,LM,England,Bundesliga,Borussia Dortmund,94,86,84,92,42,74
692,Manuel Locatelli,89,showdown-plus,CDM,Italy,Serie A TIM,Juventus,81,84,89,87,89,88
693,Wissam Ben Yedder,89,potm-ligue-1,ST,France,Ligue 1 Uber Eats,AS Monaco,87,89,85,93,44,74
694,Youcef Atal,89,uecl-road-to-the-final,RB,Algeria,Ligue 1 Uber Eats,OGC Nice,94,84,85,89,84,84
695,Giacomo Raspadori,89,uefa-champions-league-road-to-the-final,CF,Italy,Serie A TIM,Napoli,91,90,85,90,38,76
696,Wesley Fofana,89,uefa-champions-league-road-to-the-final,CB,France,Premier League,Chelsea,85,41,68,76,91,90
697,Tyrell Malacia,89,fut-future-stars,LB,Netherlands,Premier League,Manchester Utd,92,67,82,84,84,80
698,Jurriën Timber,89,fut-future-stars,CB,Netherlands,Eredivisie,Ajax,87,59,77,84,87,85
699,Eddie Nketiah,89,fut-future-stars,ST,England,Premier League,Arsenal,93,88,74,88,41,84
700,Rayan Cherki,89,fut-future-stars,CAM,France,Ligue 1 Uber Eats,OL,87,85,88,92,40,70
701,Vitinha,89,fut-future-stars,CM,Portugal,Ligue 1 Uber Eats,Paris SG,85,82,88,90,80,80
702,Joško Gvardiol,89,fut-future-stars,CB,Croatia,Bundesliga,RB Leipzig,88,59,80,82,87,90
703,Fábio Vieira,89,fut-future-stars,CM,Portugal,Premier League,Arsenal,85,87,90,88,76,77
704,Federico Valverde,89,toty-honourable-mentions,CM,Uruguay,LaLiga Santander,Real Madrid,92,80,86,86,85,87
705,Bukayo Saka,89,toty-honourable-mentions,RM,England,Premier League,Arsenal,92,85,85,90,70,78
706,Marco Reus,89,fut-centurions,CAM,Germany,Bundesliga,Borussia Dortmund,87,88,88,90,60,77
707,Marco Verratti,89,fut-centurions,CM,Italy,Ligue 1 Uber Eats,Paris SG,85,72,91,94,83,78
708,Martin Ødegaard,89,potm-premier-league,CAM,Norway,Premier League,Arsenal,86,84,91,89,63,69
709,Wissam Ben Yedder,89,fut-centurions,ST,France,Ligue 1 Uber Eats,AS Monaco,87,89,84,93,44,75
710,Riyad Mahrez,89,fut-centurions,RW,Algeria,Premier League,Manchester City,88,86,88,93,42,65
711,Sol Campbell,89,icon,CB,England,Icons,Icons,80,45,60,54,90,90
712,John Barnes,89,icon,LW,England,Icons,Icons,90,87,85,91,45,85
713,Ian Wright,89,icon,ST,England,Icons,Icons,89,90,70,82,41,77
714,Gianluca Zambrotta,89,icon,RB,Italy,Icons,Icons,90,72,84,85,88,86
715,Gennaro Gattuso,89,icon,CDM,Italy,Icons,Icons,73,65,72,73,91,89
716,Ashley Cole,89,icon,LB,England,Icons,Icons,89,67,83,83,88,80
717,Gabriel Jesus,89,winter-wildcards,RW,Brazil,Premier League,Arsenal,90,88,81,91,46,81
718,Andrew Robertson,89,winter-wildcards,LB,Scotland,Premier League,Liverpool,90,64,85,84,86,83
719,Dimitri Payet,89,winter-wildcards,CAM,France,Ligue 1 Uber Eats,OM,89,88,86,90,47,81
720,Alexandre Lacazette,89,winter-wildcards,ST,France,Ligue 1 Uber Eats,OL,91,86,86,88,50,86
721,João Félix,89,winter-wildcards,RW,Portugal,LaLiga Santander,Atlético de Madrid,90,85,86,92,45,74
722,Theo Hernández,89,world-cup-team-of-the-tournament,LB,France,Serie A TIM,Milan,96,75,81,85,82,87
723,Lautaro Martínez,89,world-cup-phenoms,ST,Argentina,Serie A TIM,Inter,86,89,78,88,50,88
724,Pedri,89,world-cup-phenoms,CM,Spain,LaLiga Santander,FC Barcelona,83,76,85,90,75,80
725,Yaya Touré,89,world-cup-hero,CDM,Ivory Coast,Premier League,HERO,82,85,88,87,82,91
726,Aymeric Laporte,89,world-cup-stories,CB,Spain,Premier League,Manchester City,82,53,75,72,90,87
727,Marco Asensio,89,world-cup-stories,ST,Spain,LaLiga Santander,Real Madrid,91,86,84,89,49,70
728,Hernán Crespo,89,world-cup-icon,ST,Argentina,Icons,Icons,87,89,71,88,39,71
729,Emmanuel Petit,89,world-cup-icon,CDM,France,Icons,Icons,81,78,82,77,86,89
730,Luis Suárez,89,road-to-world-cup,ST,Uruguay,World Cup,Uruguay,85,91,83,89,50,88
731,Kingsley Coman,89,world-cup-star,LM,France,Bundesliga,FC Bayern München,94,82,82,89,34,70
732,Joshua Kimmich,89,world-cup-player,CDM,Germany,World Cup,Germany,68,72,87,84,83,79
733,Cristian Romero,89,world-cup-path-to-glory,CB,Argentina,Premier League,Spurs,81,52,65,75,91,88
734,Kyle Walker,89,world-cup-path-to-glory,RB,England,Premier League,Manchester City,95,67,83,84,85,86
735,Bruno Guimarães,89,world-cup-path-to-glory,CM,Brazil,Premier League,Newcastle Utd,82,80,87,89,86,87
736,Leon Goretzka,89,world-cup-path-to-glory,CM,Germany,Bundesliga,FC Bayern München,80,84,84,85,84,88
737,Sergej Milinković-Savić,89,world-cup-path-to-glory,CM,Serbia,Serie A TIM,Latium,75,84,85,85,82,90
738,Jay-Jay Okocha,89,world-cup-hero,CAM,Nigeria,Ligue 1 Uber Eats,HERO,89,85,84,94,41,62
739,Neymar Jr,89,world-cup-player,LW,Brazil,World Cup,Brazil,87,83,85,93,37,61
740,Rafael Márquez,89,world-cup-hero,CDM,Mexico,LaLiga Santander,HERO,78,66,76,75,91,89
741,Heung Min Son,89,world-cup-player,LW,Korea Republic,World Cup,South Korea,88,89,82,86,42,69
742,Ricardo Carvalho,89,world-cup-hero,CB,Portugal,Premier League,HERO,80,57,73,74,92,83
743,Harry Kane,89,world-cup-player,ST,England,World Cup,England,68,91,83,82,47,82
744,Tomas Brolin,89,world-cup-hero,ST,Sweden,Serie A TIM,HERO,90,92,85,92,61,71
745,Fabinho,89,world-cup-star,CDM,Brazil,Premier League,Liverpool,78,75,84,85,88,86
746,Javier Mascherano,89,world-cup-hero,CDM,Argentina,Premier League,HERO,78,56,77,77,90,87
747,Sadio Mané,89,world-cup-player,LM,Senegal,World Cup,Senegal,90,83,80,88,44,77
748,Casemiro,89,world-cup-player,CDM,Brazil,World Cup,Brazil,63,73,75,72,87,90
749,Steven Berghuis,89,world-cup-path-to-glory,CAM,Netherlands,Eredivisie,Ajax,88,88,89,89,47,79
750,Palhinha,89,world-cup-path-to-glory,CDM,Portugal,Premier League,Fulham,75,76,80,81,90,95
751,Antoine Griezmann,89,world-cup-path-to-glory,ST,France,LaLiga Santander,Atlético de Madrid,87,89,89,92,60,85
752,Jack Grealish,89,world-cup-path-to-glory,LW,England,Premier League,Manchester City,87,84,89,92,49,76
753,Thiago,89,rulebreakers,CM,Spain,Premier League,Liverpool,85,84,89,87,75,73
754,Piqué,89,rulebreakers,CB,Spain,LaLiga Santander,FC Barcelona,83,58,77,74,88,87
755,Sergio Ramos,89,rulebreakers,CB,Spain,Ligue 1 Uber Eats,Paris SG,80,65,76,74,89,84
756,João Cancelo,89,team-of-the-week,LB,Portugal,Premier League,Manchester City,86,75,86,86,82,75
757,Toni Kroos,89,team-of-the-week,CM,Germany,LaLiga Santander,Real Madrid,55,82,91,82,72,70
758,Jean-Pierre Papin,89,fut-heroes,ST,France,Ligue 1 Uber Eats,HERO,83,93,73,83,44,76
759,Jürgen Kohler,89,fut-heroes,CB,Germany,Bundesliga,HERO,71,51,63,62,91,90
760,Lúcio,89,fut-heroes,CB,Brazil,Serie A TIM,HERO,82,72,74,77,91,89
761,Rudi Völler,89,fut-heroes,ST,Germany,Bundesliga,HERO,89,90,76,86,47,85
762,Abedi Pelé,89,fut-heroes,CAM,Ghana,Ligue 1 Uber Eats,HERO,91,83,87,91,48,66
763,David Ginola,89,fut-heroes,LM,France,Ligue 1 Uber Eats,HERO,90,88,87,91,55,84
764,Fernando Morientes,89,fut-heroes,ST,Spain,LaLiga Santander,HERO,84,90,77,83,45,86
765,Erling Haaland,89,team-of-the-week,ST,Norway,Premier League,Manchester City,90,92,67,82,50,88
766,Phil Foden,89,ucl-road-to-the-knockouts,LW,England,Premier League,Manchester City,86,83,86,92,61,65
767,Antonio Rüdiger,89,ones-to-watch,CB,Germany,LaLiga Santander,Real Madrid,84,55,75,71,88,87
768,Matthijs de Ligt,89,ones-to-watch,CB,Netherlands,Bundesliga,FC Bayern München,81,64,67,75,89,91
769,Marquinhos,89,team-of-the-week,CB,Brazil,Ligue 1 Uber Eats,Paris SG,80,57,76,76,90,82
770,Luka Modrić,89,team-of-the-week,CM,Croatia,LaLiga Santander,Real Madrid,75,78,90,89,73,67
771,Michael Laudrup,89,icon,LW,Denmark,Icons,Icons,82,77,89,90,36,62
772,Didier Drogba,89,icon,ST,Ivory Coast,Icons,Icons,85,90,75,80,46,88
773,Hugo Sánchez,89,icon,ST,Mexico,Icons,Icons,90,88,78,89,41,70
774,Ferenc Puskás,89,icon,CF,Hungary,Icons,Icons,90,93,85,90,42,73
775,Eusébio,89,icon,CF,Portugal,Icons,Icons,95,91,82,90,43,78
776,Marco van Basten,89,icon,ST,Netherlands,Icons,Icons,83,91,72,86,35,76
777,David Trezeguet,89,icon,ST,France,Icons,Icons,82,90,68,80,43,76
778,Gerd Müller,89,icon,ST,Germany,Icons,Icons,89,90,72,85,40,75
779,Ian Rush,89,icon,ST,Wales,Icons,Icons,83,90,72,85,44,80
780,Johan Cruyff,89,icon,CF,Netherlands,Icons,Icons,92,87,85,92,40,70
781,Alan Shearer,89,icon,ST,England,Icons,Icons,84,90,75,78,48,84
782,Roberto Baggio,89,icon,CF,Italy,Icons,Icons,82,83,90,90,41,61
783,Miroslav Klose,89,icon,ST,Germany,Icons,Icons,83,87,75,81,42,78
784,Robin van Persie,89,icon,ST,Netherlands,Icons,Icons,83,92,85,88,44,75
785,Gary Lineker,89,icon,ST,England,Icons,Icons,89,90,70,84,38,74
786,Paul Scholes,89,icon,CM,England,Icons,Icons,71,86,89,81,64,80
787,Bastian Schweinsteiger,89,icon,CM,Germany,Icons,Icons,68,83,87,83,85,87
788,Michael Ballack,89,icon,CM,Germany,Icons,Icons,78,87,88,82,78,88
789,Gheorghe Hagi,89,icon,CAM,Romania,Icons,Icons,85,87,89,89,40,65
790,Sócrates,89,icon,CAM,Brazil,Icons,Icons,82,88,88,88,46,83
791,Juan Román Riquelme,89,icon,CAM,Argentina,Icons,Icons,68,83,91,92,32,67
792,Steven Gerrard,89,icon,CM,England,Icons,Icons,80,86,88,84,75,80
793,Ronaldinho,89,icon,CAM,Brazil,Icons,Icons,80,85,88,90,38,77
794,Pavel Nedvěd,89,icon,LM,Czech Republic,Icons,Icons,88,86,88,88,52,80
795,Xabi Alonso,89,icon,CDM,Spain,Icons,Icons,72,77,87,79,84,82
796,Philipp Lahm,89,icon,CDM,Germany,Icons,Icons,82,70,88,85,90,70
797,Kaká,89,icon,CAM,Brazil,Icons,Icons,85,82,87,90,43,70
798,David Beckham,89,icon,RM,England,Icons,Icons,80,85,92,86,68,80
799,Fabio Cannavaro,89,icon,CB,Italy,Icons,Icons,76,44,62,67,92,82
800,Laurent Blanc,89,icon,CB,France,Icons,Icons,79,68,70,79,90,85
801,Bobby Moore,89,icon,CB,England,Icons,Icons,66,60,81,75,91,83
802,Fernando Hierro,89,icon,CB,Spain,Icons,Icons,71,66,75,70,90,84
803,Harry Kane,89,rare,ST,England,Premier League,Spurs,68,91,83,82,47,82
804,Heung Min Son,89,rare,LW,Korea Republic,Premier League,Spurs,88,89,82,86,42,69
805,Neymar Jr,89,rare,LW,Brazil,Ligue 1 Uber Eats,Paris SG,87,83,85,93,37,61
806,Joshua Kimmich,89,rare,CDM,Germany,Bundesliga,FC Bayern München,68,72,87,84,83,79
807,N'Golo Kanté,89,rare,CDM,France,Premier League,Chelsea,72,66,74,81,87,82
808,Sadio Mané,89,rare,LM,Senegal,Bundesliga,FC Bayern München,90,83,80,88,44,77
809,Casemiro,89,rare,CDM,Brazil,Premier League,Manchester Utd,63,73,75,72,87,90
810,Ahmet Arslan,88,team-of-the-season,CM,Germany,Bundesliga 2,Dynamo Dresden,88,86,89,92,80,82
811,Erik,88,team-of-the-season,LB,Brazil,United Emirates League,Al Ain FC,94,70,82,88,85,87
812,Francesco Acerbi,88,domestic-man-of-the-match,CB,Italy,Serie A TIM,Inter,70,56,71,71,91,88
813,Abdülkerim Bardakcı,88,team-of-the-season,CB,Turkey,Süper Lig,Galatasaray,80,46,74,78,91,93
814,Joe Cole,88,world-cup-hero,LM,England,Premier League,HERO,90,86,87,91,52,72
815,Ahmed Hegazi,88,team-of-the-season,CB,Egypt,Rest of World,Al Ittihad,82,32,62,67,90,96
816,Carl Piergianni,88,team-of-the-season,CB,England,EFL League Two,Stevenage,80,46,68,71,88,93
817,Sam Hoskins,88,team-of-the-season,LM,England,EFL League Two,Northampton,92,83,88,89,74,90
818,Nicolò Barella,88,uefa-champions-league-motm,CM,Italy,Serie A TIM,Inter,81,80,85,87,80,83
819,Cameron Carter-Vickers,88,team-of-the-season-moments,CB,United States,cinch Premiership,Celtic,86,40,69,77,86,89
820,Joey Veerman,88,team-of-the-season,CM,Netherlands,Eredivisie,PSV,81,82,91,88,80,85
821,Ramy Bensebaini,88,team-of-the-season-moments,LB,Algeria,Bundesliga,M'gladbach,86,74,86,88,88,88
822,Dávid Hancko,88,team-of-the-season,CB,Slovakia,Eredivisie,Feyenoord,85,75,84,83,88,90
823,Morata,88,team-of-the-season,ST,Spain,LaLiga Santander,Atlético de Madrid,88,90,80,87,41,87
824,Lucas Paquetá,88,team-of-the-week,CM,Brazil,Premier League,West Ham,81,86,87,91,77,85
825,Eduardo Camavinga,88,team-of-the-week,LB,France,LaLiga Santander,Real Madrid,88,76,88,90,85,87
826,Carlos Vela,88,team-of-the-week,RW,Mexico,Major League Soccer,LAFC,86,88,85,90,37,73
827,Michael Owen,88,special-item,ST,England,Icons,Icons,91,88,68,87,32,66
828,Michael Olise,88,team-of-the-week,RW,France,Premier League,Crystal Palace,92,82,89,91,62,65
829,Sergej Milinković-Savić,88,team-of-the-week,CM,Serbia,Serie A TIM,Latium,71,84,84,84,81,89
830,Gonçalo Guedes,88,uefa-champions-league-road-to-the-final,ST,Portugal,Premier League,SL Benfica,93,90,81,89,44,77
831,Alessandro Del Piero,88,special-item,CF,Italy,Icons,Icons,87,89,84,90,41,70
832,Kieran Trippier,88,team-of-the-week,RB,England,Premier League,Newcastle Utd,76,68,87,83,84,78
833,Facundo Medina,88,team-of-the-week,CB,Argentina,Ligue 1 Uber Eats,RC Lens,85,46,73,82,88,88
834,Leroy Sané,88,team-of-the-week,RM,Germany,Bundesliga,FC Bayern München,92,87,85,89,43,72
835,Georginio Wijnaldum,88,team-of-the-week,CDM,Netherlands,Serie A TIM,Roma FC,80,81,86,88,85,86
836,Rafael Leão,88,team-of-the-week,LW,Portugal,Serie A TIM,Milan,94,83,79,90,31,80
837,Roque Santa Cruz,88,squad-foundations,ST,Paraguay,CONMEBOL Libertadores,Libertad,91,92,82,88,53,90
838,Pedro,88,fut-birthday,LW,Spain,Serie A TIM,Latium,90,85,86,92,41,63
839,Adrien Rabiot,88,fut-birthday,CM,France,Serie A TIM,Juventus,84,83,86,89,85,87
840,Mattéo Guendouzi,88,fut-birthday,CM,France,Ligue 1 Uber Eats,OM,83,82,87,84,86,89
841,Mattéo Guendouzi,88,fut-birthday,CM,France,Ligue 1 Uber Eats,OM,83,82,87,84,86,89
842,Kai Havertz,88,uefa-champions-league-motm,ST,Germany,Premier League,Chelsea,86,86,85,89,53,81
843,Edmond Tapsoba,88,uefa-europa-league-motm,CB,Burkina Faso,Bundesliga,Leverkusen,80,61,74,78,90,87
844,Antony,88,fut-birthday,RW,Brazil,Premier League,Manchester Utd,97,82,84,90,45,77
845,Khvicha Kvaratskhelia,88,potm-serie-a,LW,Georgia,Serie A TIM,Napoli,92,82,85,90,52,80
846,Bukayo Saka,88,potm-premier-league,RW,England,Premier League,Arsenal,91,84,85,89,70,72
847,Koke,88,fut-birthday,CM,Spain,LaLiga Santander,Atlético de Madrid,80,81,90,85,83,84
848,Koke,88,fut-birthday,CM,Spain,LaLiga Santander,Atlético de Madrid,80,81,90,85,83,84
849,Joselu,88,fut-birthday,ST,Spain,LaLiga Santander,RCD Espanyol,88,89,88,88,40,85
850,Emerson Royal,88,fut-birthday,RWB,Brazil,Premier League,Spurs,90,72,82,85,86,88
851,Frenkie de Jong,88,team-of-the-week,CM,Netherlands,LaLiga Santander,FC Barcelona,84,70,87,88,78,80
852,Douglas Luiz,88,team-of-the-week,CDM,Brazil,Premier League,Aston Villa,80,77,88,87,85,81
853,Viktor Tsygankov,88,team-of-the-week,RM,Ukraine,LaLiga Santander,Girona FC,93,84,86,88,54,69
854,Victor Osimhen,88,team-of-the-week,ST,Nigeria,Serie A TIM,Napoli,95,88,73,85,46,86
855,Jack Grealish,88,vfua1,CAM,England,Premier League,Manchester City,86,83,87,89,48,75
856,Dejan Kulusevski,88,vfua1,RW,Sweden,Premier League,Spurs,88,85,86,94,62,83
857,Patrick Bamford,88,vfua1,ST,England,Premier League,Leeds United,90,86,80,99,50,81
858,Luis Díaz,88,vfua1,LW,Colombia,Premier League,Liverpool,93,86,81,92,37,80
859,Scott McTominay,88,storyline,CDM,Scotland,Premier League,Manchester Utd,81,83,82,84,86,93
860,Nacho Fernández,88,storyline,CB,Spain,LaLiga Santander,Real Madrid,83,43,75,77,89,88
861,Kevin Lasagna,88,storyline,ST,Italy,Serie A TIM,Hellas Verona,93,86,80,88,52,75
862,Domenico Berardi,88,team-of-the-week,RM,Italy,Serie A TIM,Sassuolo,88,87,85,90,41,76
863,Jonathan David,88,team-of-the-week,ST,Canada,Ligue 1 Uber Eats,LOSC Lille,91,89,81,88,43,81
864,Riqui Puig,88,fantasy-fut,CM,Spain,Major League Soccer,LA Galaxy,85,77,87,94,79,78
865,Dante,88,out-of-position,ST,Brazil,Ligue 1 Uber Eats,OGC Nice,88,91,82,84,74,89
866,Emre Can,88,fantasy-fut,CM,Germany,Bundesliga,Borussia Dortmund,86,84,84,87,89,93
867,Ömer Toprak,88,fantasy-fut,CB,Turkey,Süper Lig,Antalyaspor,81,50,73,79,91,90
868,Christian Benteke,88,fantasy-fut,ST,Belgium,Major League Soccer,D.C. United,87,92,79,87,45,92
869,Marcus Rashford,88,potm-premier-league,LW,England,Premier League,Manchester Utd,93,88,84,87,49,82
870,Antoine Griezmann,88,team-of-the-week,ST,France,LaLiga Santander,Atlético de Madrid,87,88,88,91,58,80
871,Samuel Umtiti,88,fantasy-fut,CB,France,Serie A TIM,Lecce,81,71,77,76,88,88
872,Amath Ndiaye,88,fantasy-fut,LM,Senegal,LaLiga Santander,RCD Mallorca,96,83,82,90,64,81
873,Steven Berghuis,88,potm-eredivisie,CAM,Netherlands,Eredivisie,Ajax,87,88,89,88,47,77
874,Wout Weghorst,88,showdown,ST,Netherlands,Süper Lig,Beşiktaş,87,90,80,87,60,94
875,Thomas Müller,88,team-of-the-week,CAM,Germany,Bundesliga,FC Bayern München,70,86,84,82,57,72
876,João Cancelo,88,rare,LB,Portugal,Bundesliga,FC Bayern München,85,73,85,85,81,73
877,Dani Ceballos,88,showdown-plus,CM,Spain,LaLiga Santander,Real Madrid,84,84,88,90,80,82
878,Nahuel Molina,88,showdown-plus,RWB,Argentina,LaLiga Santander,Atlético de Madrid,92,76,82,86,85,85
879,Ciro Immobile,88,team-of-the-week,ST,Italy,Serie A TIM,Latium,87,89,71,83,41,79
880,Bruno Fernandes,88,team-of-the-week,RM,Portugal,Premier League,Manchester Utd,76,88,90,84,70,79
881,Miranda,88,uefa-europa-league-road-to-the-final,LB,Spain,LaLiga Santander,Real Betis,91,71,84,88,88,84
882,Ferran Torres,88,uefa-europa-league-road-to-the-final,LW,Spain,LaLiga Santander,FC Barcelona,90,86,86,90,40,75
883,Lucas Moura,88,uefa-champions-league-road-to-the-final,RW,Brazil,Premier League,Spurs,94,85,80,91,56,76
884,Mario Balotelli,88,flashback-player-sbc,ST,Italy,Credit Suisse Super League,FC Sion,90,88,80,85,38,91
885,Julian Brandt,88,potm-bundesliga,RM,Germany,Bundesliga,Borussia Dortmund,77,85,88,91,54,73
886,Dušan Vlahović,88,team-of-the-week,ST,Serbia,Serie A TIM,Juventus,85,89,72,83,32,84
887,Giovanni Di Lorenzo,88,team-of-the-week,RB,Italy,Serie A TIM,Napoli,90,73,80,83,84,86
888,Rodri,88,team-of-the-week,CDM,Spain,Premier League,Manchester City,60,73,80,80,84,85
889,Vincenzo Grifo,88,team-of-the-week,LM,Italy,Bundesliga,SC Freiburg,83,84,88,89,48,72
890,Wissam Ben Yedder,88,team-of-the-week,ST,France,Ligue 1 Uber Eats,AS Monaco,86,88,83,92,43,74
891,Nuno Tavares,88,fut-future-stars,LB,Portugal,Ligue 1 Uber Eats,OM,92,70,80,88,80,85
892,Chris Smalling,88,flashback-player-sbc,CB,England,Serie A TIM,Roma FC,84,54,65,68,87,89
893,Stevan Jovetić,88,player-moments,ST,Montenegro,Bundesliga,Hertha Berlin,90,88,83,90,41,78
894,Nicolò Rovella,88,fut-future-stars,CM,Italy,Serie A TIM,AC Monza,83,82,85,84,90,82
895,Sébastien Haller,88,player-moments,ST,Ivory Coast,Bundesliga,Borussia Dortmund,84,88,79,84,58,99
896,Victor Osimhen,88,potm-serie-a,ST,Nigeria,Serie A TIM,Napoli,95,88,73,84,47,86
897,Jacob Ramsey,88,fut-future-stars,CM,England,Premier League,Aston Villa,85,81,86,88,80,85
898,Nicolò Fagioli,88,fut-future-stars,CM,Italy,Serie A TIM,Juventus,86,77,88,90,80,76
899,Fábio Carvalho,88,fut-future-stars,CAM,Portugal,Premier League,Liverpool,89,83,82,90,60,73
900,Carlos Vela,88,player-moments,LW,Mexico,Major League Soccer,LAFC,92,86,85,91,37,75
901,Quinten Timber,88,fut-future-stars,CB,Netherlands,Eredivisie,Feyenoord,87,67,80,85,84,92
902,Quinten Timber,88,fut-future-stars,CDM,Netherlands,Eredivisie,Feyenoord,90,70,84,88,81,90
903,Kingsley Coman,88,team-of-the-week,LM,France,Bundesliga,FC Bayern München,94,80,82,89,32,66
904,Raphinha,88,team-of-the-week,RW,Brazil,LaLiga Santander,FC Barcelona,95,84,83,89,57,80
905,Tammy Abraham,88,team-of-the-week,ST,England,Serie A TIM,Roma FC,90,88,73,86,42,86
906,Vanderson,88,fut-future-stars,RW,Brazil,Ligue 1 Uber Eats,AS Monaco,92,84,86,88,70,77
907,Vanderson,88,fut-future-stars,RB,Brazil,Ligue 1 Uber Eats,AS Monaco,91,70,80,77,84,88
908,Anthony Elanga,88,fut-future-stars,RW,Sweden,Premier League,Manchester Utd,92,85,84,88,43,68
909,Mohammed Kudus,88,fut-future-stars,CAM,Ghana,Eredivisie,Ajax,93,81,84,88,75,85
910,Marc Guéhi,88,fut-future-stars,CB,England,Premier League,Crystal Palace,82,44,71,79,89,85
911,Jesper Lindstrøm,88,fut-future-stars,CAM,Denmark,Bundesliga,Frankfurt,94,84,83,88,62,78
912,Alexander Sørloth,88,potm-laliga-santander,ST,Norway,LaLiga Santander,Real Sociedad,92,87,83,87,46,94
913,Seko Fofana,88,toty-honourable-mentions,CM,Ivory Coast,Ligue 1 Uber Eats,RC Lens,84,78,82,86,84,91
